Ref,countriesLow,ISO3,WHO_code,WHO_country,SHP_CNTRY_NAME,GlobalGood,sPDF,UNHCR,GBD_study,UNESA,WHO_surveillance
93,Heard I. and McDonald Is.,HMD,XXX,Heard I. and McDonald Is.,XXX,Heard I. and McDonald Is.,Heard I. and McDonald Is.,Heard I. and McDonald Is.,Heard I. and McDonald Is.,Heard I. and McDonald Is.,Heard I. and McDonald Is.
94,Honduras,HND,XXX,Honduras,XXX,Honduras,Honduras,Honduras,Honduras,Honduras,Honduras
92,Hong Kong,HKG,XXX,Hong Kong,XXX,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong,Hong Kong
97,Hungary,HUN,XXX,Hungary,XXX,Hungary,Hungary,Hungary,Hungary,Hungary,Hungary
106,Iceland,ISL,XXX,Iceland,XXX,Iceland,Iceland,Iceland,Iceland,Iceland,Iceland
100,India,IND,IND,India,india,India,India,India,India,India,India
101,Indian Ocean Ter.,IOA,XXX,Indian Ocean Ter.,XXX,Indian Ocean Ter.,Indian Ocean Ter.,Indian Ocean Ter.,Indian Ocean Ter.,Indian Ocean Ter.,Indian Ocean Ter.
98,Indonesia,IDN,INO,Indonesia,indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia,Indonesia
104,Iran,IRN,IRN,Iran,iran (islamic republic of),IRAN (ISLAMIC REPUBLIC OF),Iran,Islamic Republic of Iran,Iran,Iran (Islamic Republic of),Iran (Islamic Republic of)
105,Iraq,IRQ,IRQ,Iraq,iraq,Iraq,Iraq,Iraq,Iraq,Iraq,Iraq
103,Ireland,IRL,XXX,Ireland,XXX,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland
99,Isle of Man,IMN,XXX,Isle of Man,XXX,Isle of Man,Isle of Man,Isle of Man,Isle of Man,Isle of Man,Isle of Man
107,Israel,ISR,XXX,Israel,XXX,Israel,Israel,Israel,Israel,Israel,Israel
108,Italy,ITA,XXX,Italy,XXX,Italy,Italy,Italy,Italy,Italy,Italy
43,Ivory Coast,CIV,CIV,Cote d'Ivoire,Ivory Coast,COTE DIVOIRE,Ivory Coast,Cote d'Ivoire,Cote d'Ivoire,Cote dIvoire,Cote dIvoire
109,Jamaica,JAM,XXX,Jamaica,XXX,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica
112,Japan,JPN,XXX,Japan,XXX,Japan,Japan,Japan,Japan,Japan,Japan
110,Jersey,JEY,XXX,Jersey,XXX,Jersey,Jersey,Jersey,Jersey,Jersey,Jersey
111,Jordan,JOR,JOR,Jordan,jordan,Jordan,Jordan,Jordan,Jordan,Jordan,Jordan
114,Kazakhstan,KAZ,XXX,Kazakhstan,XXX,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
115,Kenya,KEN,KEN,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya,Kenya
118,Kiribati,KIR,XXX,Kiribati,XXX,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati
